playerId;playerName;country;height;weight;season_exp;jersey;position
1631207;Dalen Terry;USA;06-jul;195;0;25;Forward
1627745;Damian Jones;USA;06-nov;245;6;15;Center
203081;Damian Lillard;USA;06-feb;195;10;0;Guard
1627814;Damion Lee;USA;06-may;210;5;10;Guard-Forward
1629655;Daniel Gafford;USA;06-oct;234;3;21;Forward-Center
1628464;Daniel Theis;Germany;06-ago;245;5;27;Forward-Center
201980;Danny Green;USA;06-jun;215;13;14;Guard
1627863;Danuel House Jr.;USA;06-jun;220;6;25;Forward-Guard
203967;Dario Saric;Croatia;06-oct;225;5;9;Forward-Center
1629647;Darius Bazley;USA;06-sep;216;3;55;Forward
1630620;Darius Days;USA;06-jul;245;0;5;Forward
1629636;Darius Garland;USA;06-ene;192;3;10;Guard
1630561;David Duke Jr.;USA;06-abr;204;1;6;Guard
1631223;David Roddy;USA;06-abr;255;0;27;Forward
1630558;Davion Mitchell;USA;6-0;202;1;15;Guard
202722;Davis Bertans;Latvia;06-oct;225;6;44;Forward
1628432;Davon Reed;USA;06-may;206;3;;Guard
1630549;Day'Ron Sharpe;USA;06-sep;265;1;20;Center
1628368;De'Aaron Fox;USA;06-mar;185;5;5;Guard
1629631;De'Andre Hunter;USA;06-ago;221;3;12;Forward-Guard
1629001;De'Anthony Melton;USA;06-feb;200;4;8;Guard
201599;DeAndre Jordan;USA;06-nov;265;14;6;Center
201942;DeMar DeRozan;USA;06-jun;220;13;11;Guard-Forward
1629731;Dean Wade;USA;06-sep;228;3;32;Forward-Center
1629028;Deandre Ayton;Bahamas;7-0;250;4;22;Center
1627749;Dejounte Murray;USA;06-may;180;5;5;Guard
1626153;Delon Wright;USA;06-may;185;7;55;Guard
1630166;Deni Avdija;Israel;06-sep;210;2;9;Forward
203471;Dennis Schroder;Germany;06-ene;172;9;17;Guard
1628372;Dennis Smith Jr.;USA;06-feb;205;5;8;Guard
1629126;Deonte Burton;USA;06-abr;240;2;;Guard-Forward
1631220;Dereon Seabron;USA;06-may;180;0;0;Guard
1627884;Derrick Jones Jr.;USA;06-jun;210;6;5;Forward
201565;Derrick Rose;USA;06-mar;200;13;4;Guard
1628401;Derrick White;USA;06-abr;190;5;9;Guard
1630217;Desmond Bane;USA;06-may;215;2;22;Guard
1626164;Devin Booker;USA;06-may;206;7;1;Guard
1630170;Devin Vassell;USA;06-may;200;2;24;Guard-Forward
1629653;Devon Dotson;USA;06-ene;185;2;;Guard
1628984;Devonte' Graham;USA;06-ene;195;4;4;Guard
203473;Dewayne Dedmon;USA;06-oct;245;9;14;Center
1628415;Dillon Brooks;Canada;06-jun;225;5;24;Guard-Forward
1627734;Domantas Sabonis;Lithuania;07-ene;240;6;10;Forward-Center
1631230;Dominick Barlow;USA;06-sep;215;0;26;Forward
1628378;Donovan Mitchell;USA;06-ene;215;5;45;Guard
1631495;Donovan Williams;USA;06-jun;190;0;;Guard
