playerId;playerName;country;height;weight;season_exp;jersey;position
203585;Rodney McGruder;USA;06-abr;205;6;17;Guard
1629641;Romeo Langford;USA;06-may;216;3;35;Guard-Forward
1631199;Ron Harper Jr.;USA;06-may;245;0;8;Forward
1626220;Royce O'Neale;USA;06-jun;226;5;0;Forward
200752;Rudy Gay;USA;06-ago;250;16;22;Forward-Guard
203497;Rudy Gobert;France;07-ene;258;9;27;Center
1629060;Rui Hachimura;Japan;06-ago;230;3;28;Forward
201566;Russell Westbrook;USA;06-mar;200;14;0;Guard
1627853;Ryan Arcidiacono;USA;06-mar;195;5;;Guard
1631157;Ryan Rollins;USA;06-mar;180;0;2;Guard
1630240;Saben Lee;USA;06-feb;183;2;38;Guard
1630180;Saddiq Bey;USA;06-jul;215;2;41;Forward
1630573;Sam Hauser;USA;06-jul;217;1;30;Forward
1630241;Sam Merrill;USA;06-abr;205;2;20;Guard
1630572;Sandro Mamukelashvili;Georgia;06-oct;240;1;54;Forward-Center
1630583;Santi Aldama;Spain;7-0;215;1;7;Forward-Center
1630567;Scottie Barnes;USA;06-ago;225;1;4;Forward
1630590;Scotty Pippen Jr.;USA;06-ene;170;0;14;Guard
201586;Serge Ibaka;Democratic Republic of the Congo;06-nov;235;13;;Forward
203552;Seth Curry;USA;06-ene;185;8;30;Guard
1631101;Shaedon Sharpe;Canada;06-may;200;0;17;Guard
1628983;Shai Gilgeous-Alexander;Canada;06-jun;195;4;2;Guard
1629003;Shake Milton;USA;06-may;205;4;18;Guard-Forward
1627885;Shaquille Harrison;USA;06-abr;195;5;0;Guard
1631323;Simone Fontecchio;Italy;06-jul;209;0;16;Forward
1630219;Skylar Mays;USA;06-abr;205;2;;Guard
203915;Spencer Dinwiddie;USA;06-may;215;8;26;Guard
1626169;Stanley Johnson;USA;06-jun;242;7;;Forward-Guard
1630649;Stanley Umude;USA;06-jun;210;0;;Guard
201939;Stephen Curry;USA;06-feb;185;13;30;Guard
1628425;Sterling Brown;USA;06-may;219;5;;Guard-Forward
203500;Steven Adams;New Zealand;06-nov;265;9;4;Center
1629004;Svi Mykhailiuk;Ukraine;06-jul;205;4;17;Guard-Forward
204456;T.J. McConnell;USA;06-ene;190;7;9;Guard
203933;T.J. Warren;USA;06-ago;220;7;21;Forward
201959;Taj Gibson;USA;06-sep;232;13;67;Forward
1629659;Talen Horton-Tucker;USA;06-abr;234;3;0;Guard
1631106;Tari Eason;USA;06-ago;215;0;17;Forward
1627752;Taurean Prince;USA;06-jun;218;6;12;Forward
1629611;Terance Mann;USA;06-may;215;3;14;Guard-Forward
1629056;Terence Davis;USA;06-abr;201;3;3;Guard
203082;Terrence Ross;USA;06-jul;206;10;8;Guard-Forward
1626179;Terry Rozier;USA;06-ene;190;7;3;Guard
1630678;Terry Taylor;USA;06-abr;230;1;32;Forward
201152;Thaddeus Young;USA;06-ago;235;15;21;Forward
203648;Thanasis Antetokounmpo;Greece;06-jul;219;4;43;Forward
1630177;Theo Maledon;France;06-may;175;2;9;Guard
1629033;Theo Pinson;USA;06-jul;212;4;1;Guard-Forward
1628418;Thomas Bryant;USA;06-oct;248;5;13;Center-Forward
203501;Tim Hardaway Jr.;USA;06-may;205;9;11;Guard-Forward
202699;Tobias Harris;USA;06-jul;226;11;12;Forward
1628396;Tony Bradley;USA;06-nov;248;5;;Center-Forward
1628470;Torrey Craig;USA;06-jul;221;5;0;Forward
1629027;Trae Young;USA;06-ene;164;4;11;Guard
1630200;Tre Jones;USA;06-ene;185;2;33;Guard
1630544;Tre Mann;USA;06-mar;178;1;23;Guard
1630570;Trendon Watford;USA;06-ago;237;1;2;Forward
1630235;Trent Forrest;USA;06-abr;210;2;2;Guard
1630243;Trevelin Queen;USA;06-jun;190;1;;Guard
1631309;Trevor Hudgins;USA;6-0;180;0;12;Guard
1631211;Trevor Keels;USA;06-abr;221;0;3;Guard
1626168;Trey Lyles;Canada;06-sep;234;7;41;Forward
1630530;Trey Murphy III;USA;06-ago;206;1;25;Forward
1628972;Troy Brown Jr.;USA;06-jul;215;4;7;Guard-Forward
1629660;Ty Jerome;USA;06-may;195;3;10;Guard-Forward
1631102;TyTy Washington Jr.;USA;06-mar;195;0;0;Guard
1628416;Tyler Dorsey;USA;06-abr;180;2;;Guard
1629639;Tyler Herro;USA;06-may;195;3;14;Guard
1630169;Tyrese Haliburton;USA;06-may;185;2;0;Guard
1631213;Tyrese Martin;USA;06-jun;215;0;22;Guard
1630178;Tyrese Maxey;USA;06-feb;200;2;0;Guard
1626145;Tyus Jones;USA;06-feb;196;7;21;Guard
1628962;Udoka Azubuike;Nigeria;06-nov;270;2;20;Center-Forward
2617;Udonis Haslem;USA;06-jul;235;19;40;Forward
1630586;Usman Garuba;Spain;06-ago;229;1;16;Forward
1630176;Vernon Carey Jr.;USA;06-oct;270;2;13;Center
203506;Victor Oladipo;USA;06-mar;213;9;4;Guard
1631246;Vince Williams Jr.;USA;06-abr;205;0;5;Guard
1630249;Vit Krejci;Czech Republic;06-ago;195;1;27;Guard
1628427;Vlatko Cancar;Slovenia;06-ago;236;3;31;Forward
1631117;Walker Kessler;USA;7-0;245;0;24;Center
1628976;Wendell Carter Jr.;USA;06-oct;270;4;34;Center-Forward
1631111;Wendell Moore Jr.;USA;06-may;215;0;7;Guard
1629117;Wenyen Gabriel;South Sudan;06-sep;205;3;35;Forward
202083;Wesley Matthews;USA;06-may;220;13;23;Guard
203115;Will Barton;USA;06-may;181;10;1;Guard
1626195;Willy Hernangomez;Spain;06-nov;250;6;9;Center-Forward
1641645;Xavier Cooks;Australia;06-ago;183;0;12;Forward
1629875;Xavier Moon;USA;6-0;165;1;15;Guard
1630270;Xavier Sneed;USA;06-may;215;1;19;Forward
1630214;Xavier Tillman;USA;06-jul;245;2;2;Forward
1629139;Yuta Watanabe;Japan;06-ago;215;4;18;Guard-Forward
1628380;Zach Collins;USA;06-nov;250;4;23;Forward-Center
203897;Zach LaVine;USA;06-may;200;8;8;Guard
1630192;Zeke Nnaji;USA;06-sep;240;2;22;Forward-Center
1630533;Ziaire Williams;USA;06-sep;185;1;8;Forward
1629627;Zion Williamson;USA;06-jun;284;2;1;Forward
