id;PLAYER_ID; PLAYER_NAME; NICKNAME; TEAM_ID; TEAM_ABBREVIATION; AGE; GP; W; L; W_PCT;MIN; FGM; FGA; FG_PCT; FG3M; FG3A; FG3_PCT; FTM; FTA; FT_PCT; OREB; DREB; REB; AST; TOV; STL; BLK; BLKA; PF;PTS
28;1630245; 'Ayo Dosunmu'; 'Ayo';1610612741; 'CHI'; 23.0;80;40;40; 0.5;2097;281;570; 0.493;59;189; 0.312;66;82; 0.805;45;175;220;206;99;62;26;49;182;687
29;1628389; 'Bam Adebayo'; 'Bam';1610612748; 'MIA'; 25.0;75;40;35; 0.533;2597;602;1114; 0.54;1;12; 0.083;324;402; 0.806;184;504;688;240;187;88;61;49;208;1529
30;1627732; 'Ben Simmons'; 'Ben';1610612751; 'BKN'; 26.0;42;24;18; 0.571;1105;133;235; 0.566;0;2; 0.0;25;57; 0.439;40;223;263;256;97;54;24;10;139;291
31;1631097; 'Bennedict Mathurin'; 'Bennedict';1610612754; 'IND'; 20.0;78;33;45; 0.423;2222;413;951; 0.434;100;310; 0.323;376;454; 0.828;87;231;318;116;152;48;13;84;162;1302
32;202687; 'Bismack Biyombo'; 'Bismack';1610612756; 'PHX'; 30.0;61;33;28; 0.541;874;119;206; 0.578;0;0; 0.0;25;70; 0.357;89;171;260;56;51;18;88;11;114;263
33;201933; 'Blake Griffin'; 'Blake';1610612738; 'BOS'; 34.0;41;27;14; 0.659;568;63;130; 0.485;23;66; 0.348;21;32; 0.656;47;108;155;61;22;14;9;5;75;170
34;1631104; 'Blake Wesley'; 'Blake';1610612759; 'SAS'; 20.0;37;9;28; 0.243;669;69;215; 0.321;20;52; 0.385;26;44; 0.591;12;70;82;98;65;25;5;26;67;184
35;1626246; 'Boban Marjanovic'; 'Boban';1610612745; 'HOU'; 34.0;31;7;24; 0.226;171;41;60; 0.683;0;1; 0.0;20;27; 0.741;20;40;60;9;14;5;2;3;10;102
36;1626171; 'Bobby Portis'; 'Bobby';1610612749; 'MIL'; 28.0;70;47;23; 0.671;1818;398;803; 0.496;95;257; 0.37;96;125; 0.768;154;518;672;105;81;29;16;34;115;987
37;203992; 'Bogdan Bogdanovic'; 'Bogdan';1610612737; 'ATL'; 30.0;54;27;27; 0.5;1508;273;611; 0.447;146;360; 0.406;64;77; 0.831;23;142;165;150;65;43;18;13;86;756
38;202711; 'Bojan Bogdanovic'; 'Bojan';1610612765; 'DET'; 34.0;59;15;44; 0.254;1892;430;882; 0.488;145;353; 0.411;268;303; 0.884;36;187;223;152;135;34;8;79;113;1273
39;1629626; 'Bol Bol'; 'Bol';1610612753; 'ORL'; 23.0;70;26;44; 0.371;1505;261;478; 0.546;30;113; 0.265;82;108; 0.759;69;336;405;69;112;30;85;19;92;634
40;1630538; 'Bones Hyland'; 'Bones';1610612746; 'LAC'; 22.0;56;36;20; 0.643;1085;228;571; 0.399;117;315; 0.371;86;102; 0.843;20;115;135;172;82;39;15;36;96;659
41;203078; 'Bradley Beal'; 'Bradley';1610612764; 'WAS'; 29.0;50;24;26; 0.48;1672;444;878; 0.506;80;219; 0.365;192;228; 0.842;41;155;196;271;145;45;33;33;107;1160
42;1630527; 'Brandon Boston Jr.'; 'Brandon';1610612746; 'LAC'; 21.0;22;9;13; 0.409;248;51;122; 0.418;12;29; 0.414;29;38; 0.763;7;23;30;20;12;9;0;11;21;143
43;1629634; 'Brandon Clarke'; 'Brandon';1610612763; 'MEM'; 26.0;56;32;24; 0.571;1090;229;349; 0.656;1;6; 0.167;100;139; 0.719;92;218;310;72;55;34;37;18;131;559
