game_id;team_id;period1Score;period2Score;period3Score;period4Score
'0022200849';1610612764;37;43;24;23
'0022200849';1610612754;29;28;31;25
'0022201184';1610612763;41;25;30;23
'0022201184';1610612757;25;37;33;14
'0022201121';1610612744;29;26;18;23
'0022201121';1610612750;29;24;24;22
'0022200323';1610612758;33;29;44;31
'0022200323';1610612754;20;28;35;31
'0022200759';1610612760;20;28;37;35
'0022200759';1610612744;38;25;31;34
'0022200784';1610612749;15;34;29;28
'0022200784';1610612746;24;32;31;18
'0022200136';1610612749;34;33;26;15
'0022200136';1610612760;34;19;25;16
'0022201047';1610612766;29;25;13;15
'0022201047';1610612755;31;35;26;29
'0022200518';1610612748;33;28;34;17
'0022200518';1610612747;25;27;26;20
'0022200967';1610612745;38;35;35;34
'0022200967';1610612759;24;39;24;23
'0022200686';1610612742;31;29;32;23
'0022200686';1610612748;19;32;16;23
'0022200957';1610612739;24;30;42;18
'0022200957';1610612765;21;24;22;23
'0022200667';1610612743;34;39;28;21
'0022200667';1610612757;31;36;22;24
'0022200834';1610612747;31;27;23;25
'0022200834';1610612749;26;24;38;27
'0022200253';1610612740;35;30;32;31
'0022200253';1610612744;16;25;24;18
'0022200864';1610612760;25;26;22;27
'0022200864';1610612740;33;27;16;27
'0022201156';1610612763;21;34;31;22
'0022201156';1610612746;34;17;21;22
'0022200875';1610612755;38;25;24;31
'0022200875';1610612739;24;14;32;42
'0022200259';1610612756;26;27;33;29
'0022200259';1610612747;22;33;24;26
'0022200933';1610612766;22;19;32;18
'0022200933';1610612756;27;30;22;26
'0022200846';1610612751;28;32;22;16
'0022200846';1610612755;26;26;24;25
'0022200282';1610612759;21;20;34;19
'0022200282';1610612747;33;26;20;26
'0022200251';1610612749;30;33;30;26
'0022200251';1610612757;32;29;18;32
'0022201116';1610612738;30;38;28;41
'0022201116';1610612759;32;26;19;16
'0022200441';1610612745;27;24;14;30
'0022200441';1610612757;33;24;28;22
'0022200589';1610612756;23;23;27;23
'0022200589';1610612748;30;21;27;26
'0022200880';1610612760;38;38;40;17
'0022200880';1610612745;21;33;24;18
'0022200294';1610612738;35;37;41;17
'0022200294';1610612764;26;29;33;33
'0022200434';1610612741;32;21;22;16
'0022200434';1610612752;29;29;29;27
'0022200357';1610612763;27;31;24;19
'0022200357';1610612748;32;19;26;16
'0022200841';1610612763;31;38;34;25
'0022200841';1610612750;32;26;28;21
'0022200612';1610612755;27;38;42;40
'0022200612';1610612765;20;23;32;41
'0022201018';1610612759;19;28;24;19
'0022201018';1610612760;29;23;26;24
'0022200336';1610612744;35;28;33;23
'0022200336';1610612741;33;19;30;29
'0022200721';1610612755;41;34;32;30
'0022200721';1610612751;41;24;33;35
'0022200778';1610612754;35;32;29;15
'0022200778';1610612747;30;24;30;28
'0022201152';1610612738;27;30;36;29
'0022201152';1610612762;29;22;27;36
'0022200474';1610612760;22;27;29;23
'0022200474';1610612757;32;22;24;20
'0022201198';1610612755;31;15;32;23
'0022201198';1610612748;41;26;29;33
'0022200639';1610612746;34;24;23;22
'0022200639';1610612743;32;25;29;29
'0022201222';1610612764;39;28;18;24
'0022201222';1610612745;31;24;32;27
'0022200931';1610612744;27;21;39;36
'0022200931';1610612757;41;24;17;23
'0022200293';1610612737;31;29;21;17
'0022200293';1610612748;23;28;34;21
'0022201168';1610612752;34;19;33;32
'0022201168';1610612764;31;30;18;30
'0022200073';1610612761;26;22;22;20
'0022200073';1610612755;28;37;16;31
'0022200495';1610612738;36;26;38;39
'0022200495';1610612749;28;33;25;32
'0022200180';1610612759;31;23;29;28
'0022200180';1610612749;27;19;30;17
'0022200037';1610612747;24;24;35;21
'0022200037';1610612757;32;23;23;28
'0022200191';1610612740;34;29;23;33
'0022200191';1610612745;26;24;37;19
'0022200936';1610612748;38;15;24;19
'0022200936';1610612755;34;37;25;23
'0022200168';1610612760;27;28;32;32
'0022200168';1610612749;27;28;29;35
'0022200850';1610612737;32;29;32;32
'0022200850';1610612759;31;29;17;29
'0022200599';1610612748;30;34;18;19
'0022200599';1610612751;31;35;13;23
'0022200382';1610612755;31;30;32;27
'0022200382';1610612747;20;39;24;37
'0022200719';1610612747;30;24;28;33
'0022200719';1610612746;37;40;21;35
'0022200394';1610612757;32;33;29;30
'0022200394';1610612750;27;39;26;26
'0022200603';1610612756;26;28;25;19
'0022200603';1610612739;35;22;23;32
'0022201181';1610612755;28;25;19;31
'0022201181';1610612738;22;24;21;34
'0022200313';1610612753;27;23;26;32
'0022200313';1610612737;38;32;30;25
'0022200193';1610612739;20;30;34;40
