game_id;team_id;period1Score;period2Score;period3Score;period4Score
22200227;1610612753;37;29;21;21
22200224;1610612764;33;24;24;23
22200224;1610612748;31;38;19;16
22201178;1610612753;29;30;32;22
22201178;1610612739;23;35;35;24
22201192;1610612738;31;25;23;18
22201192;1610612761;28;16;28;21
22200378;1610612754;31;38;26;26
22200378;1610612764;33;32;24;22
22200979;1610612752;21;45;23;16
22200979;1610612766;21;29;37;25
22200960;1610612749;29;30;40;31
22200960;1610612755;29;24;32;48
22200760;1610612759;36;19;32;19
22200760;1610612764;30;33;35;29
22200074;1610612764;28;32;30;27
22200074;1610612754;36;39;26;26
22200668;1610612746;27;25;37;21
22200668;1610612755;34;29;27;30
22200702;1610612743;18;29;27;25
22200702;1610612760;27;25;29;20
22201064;1610612760;25;32;33;34
22201064;1610612756;31;38;27;24
22200306;1610612762;27;33;20;27
22200306;1610612741;27;26;33;28
22200876;1610612737;21;23;32;25
22200876;1610612752;37;29;25;31
22200892;1610612762;28;18;32;28
22200892;1610612760;26;29;31;20
22200477;1610612740;37;28;29;32
22200477;1610612759;17;29;29;42
22200182;1610612744;25;23;26;32
22200182;1610612739;25;27;25;24
22201114;1610612747;26;29;23;30
22201114;1610612741;29;34;28;27
22200728;1610612758;23;27;17;28
22200728;1610612761;24;34;26;29
22201209;1610612740;27;33;23;30
22201209;1610612752;30;30;23;22
22200903;1610612765;22;22;26;21
22200903;1610612761;22;22;27;24
22200665;1610612749;44;23;38;25
22200665;1610612761;34;40;23;25
22201068;1610612749;33;25;31;29
22201068;1610612761;29;27;39;16
22201212;1610612747;30;31;35;25
22201212;1610612756;34;28;27;18
22200396;1610612765;26;23;41;27
22200396;1610612747;32;29;30;33
22200144;1610612766;18;30;24;28
22200144;1610612764;26;20;30;32
22200525;1610612738;27;33;24;32
22200525;1610612746;26;23;36;25
22200978;1610612753;26;34;32;31
22200978;1610612749;36;34;32;32
22200071;1610612753;22;29;31;31
22200071;1610612766;19;11;23;40
22200245;1610612745;28;37;29;26
22200245;1610612744;40;21;36;30
22200793;1610612751;25;30;37;33
22200793;1610612764;44;29;26;24
22200388;1610612754;38;38;24;33
22200388;1610612751;40;29;26;41
22200815;1610612757;22;26;23;37
22200815;1610612749;30;28;37;32
22200001;1610612738;24;39;35;28
22200001;1610612755;29;34;25;29
22200771;1610612763;32;25;33;22
22200771;1610612757;26;26;32;38
22200409;1610612755;39;41;21;22
22200409;1610612758;32;23;28;20
22200170;1610612746;38;16;33;27
22200170;1610612747;21;31;23;26
22200858;1610612739;34;31;26;26
22200858;1610612759;19;30;32;28
22200950;1610612741;29;35;21;0
22200950;1610612756;40;20;34;0
22200564;1610612766;26;21;26;34
22200564;1610612763;40;36;26;29
22200663;1610612763;29;39;39;29
22200663;1610612756;36;29;23;18
22200172;1610612764;28;30;29;26
22200172;1610612742;34;27;22;22
22200137;1610612750;40;28;35;26
22200137;1610612745;34;15;34;34
22201027;1610612766;27;21;28;28
22201027;1610612739;30;33;35;22
22200341;1610612750;29;28;44;27
22200341;1610612760;32;31;34;38
22201197;1610612753;42;15;16;21
22201197;1610612739;33;34;28;23
